| Natural Language Question | MongoDB Query | Collection Name |
|-------------------------|--------------|-----------------|
| What are the coordinates of the start station for each trip? | ```db.trips.distinct("start_station_location.coordinates")``` | trips |
| How many trips started from stations with coordinates within a specific geographic range? | ```db.trips.find({ "start_station_location.coordinates": { $geoWithin: { $box: [ [minLong, minLat], [maxLong, maxLat] ] } } }).count()``` | trips |
| Can you find trips where the start and end stations are the same? | ```db.trips.find({ "start_station_location": { $eq: "$end_station_location" } })``` | trips |
| What are the average latitude and longitude of the start stations? | ```db.trips.aggregate([ { $unwind: "$start_station_location.coordinates" }, { $group: { _id: null, avgLat: { $avg: { $arrayElemAt: ["$start_station_location.coordinates", 0] } }, avgLong: { $avg: { $arrayElemAt: ["$start_station_location.coordinates", 1] } } } } ])``` | trips |
| How many trips had start stations located within a certain distance from a specific point? | ```db.trips.find({ "start_station_location.coordinates": { $nearSphere: { $geometry: { type: "Point", coordinates: [longitude, latitude] }, $maxDistance: maxDistanceInMeters } } }).count()``` | trips |
| Can you find trips where the start station latitude is greater than a specific value? | ```db.trips.find({ "start_station_location.coordinates.0": { $gt: specificLatitude } })``` | trips |
| How many trips ended at stations located in a specific geographic area? | ```db.trips.find({ "end_station_location.coordinates": { $geoWithin: { $box: [ [minLong, minLat], [maxLong, maxLat] ] } } }).count()``` | trips |
| Can you find trips where the start station longitude falls within a certain range? | ```db.trips.find({ "start_station_location.coordinates.1": { $gte: minLongitude, $lte: maxLongitude } })``` | trips |
| What are the average latitude and longitude of the end stations? | ```db.trips.aggregate([ { $unwind: "$end_station_location.coordinates" }, { $group: { _id: null, avgLat: { $avg: { $arrayElemAt: ["$end_station_location.coordinates", 0] } }, avgLong: { $avg: { $arrayElemAt: ["$end_station_location.coordinates", 1] } } } } ])``` | trips |
| How many trips had end stations located within a certain distance from a specific point? | ```db.trips.find({ "end_station_location.coordinates": { $nearSphere: { $geometry: { type: "Point", coordinates: [longitude, latitude] }, $maxDistance: maxDistanceInMeters } } }).count()``` | trips |
| What are the distinct types of start station locations (e.g., latitude and longitude pairs) in the dataset? | ```db.trips.distinct("start_station_location")``` | trips |
| Can you find trips where the start station latitude is between two specific values? | ```db.trips.find({ "start_station_location.coordinates.0": { $gte: lowerLatitude, $lte: upperLatitude } })``` | trips |
| How many trips ended at stations located to the north of a specific latitude? | ```db.trips.find({ "end_station_location.coordinates.0": { $gt: specificLatitude } }).count()``` | trips |
| What are the unique combinations of latitude and longitude for start stations? | ```db.trips.aggregate([ { $group: { _id: { latitude: { $arrayElemAt: ["$start_station_location.coordinates", 0] }, longitude: { $arrayElemAt: ["$start_station_location.coordinates", 1] } } } } ])``` | trips |
| Can you find trips where the start station longitude is less than a specific value? | ```db.trips.find({ "start_station_location.coordinates.1": { $lt: specificLongitude } })``` | trips |
| How many trips ended at stations located in a specific city or region? | ```db.trips.find({ "end_station_location.coordinates": { $geoWithin: { $geometry: { type: "Polygon", coordinates: [[ [long1, lat1], [long2, lat2], ...]] } } } }).count()``` | trips |
| Can you find trips where the start station coordinates match a specific pair of latitude and longitude? | ```db.trips.find({ "start_station_location.coordinates": [specificLatitude, specificLongitude] })``` | trips |
| How many trips started at stations located to the west of a specific longitude? | ```db.trips.find({ "start_station_location.coordinates.1": { $lt: specificLongitude } }).count()``` | trips |
| What are the distinct types of end station locations (e.g., latitude and longitude pairs) in the dataset? | ```db.trips.distinct("end_station_location")``` | trips |
| Can you find trips where the end station latitude falls within a certain range? | ```db.trips.find({ "end_station_location.coordinates.0": { $gte: minLatitude, $lte: maxLatitude } })``` | trips |
| How many trips ended at stations located at a specific latitude and longitude? | ```db.trips.find({ "end_station_location.coordinates": [specificLatitude, specificLongitude] }).count()``` | trips |
| Can you find trips where the start station longitude is outside a specific range? | ```db.trips.find({ $or: [ { "start_station_location.coordinates.1": { $lt: minLongitude } }, { "start_station_location.coordinates.1": { $gt: maxLongitude } } ] })``` | trips |
| How many trips started at stations located to the south of a specific latitude? | ```db.trips.find({ "start_station_location.coordinates.0": { $lt: specificLatitude } }).count()``` | trips |

| Can you find companies with a specific product name in their product list? | ```db.companies.find({ "products.name": "specific_product_name" })``` | companies |
| What are the names and URLs of products offered by each company? | ```db.companies.aggregate([ { $unwind: "$products" }, { $project: { _id: 0, company_name: "$name", product_name: "$products.name", product_permalink: "$products.permalink" } } ])``` | companies |
| How many companies have a specific person as part of their relationships list? | ```db.companies.find({ "relationships.person.permalink": "specific_person_permalink" }).count()``` | companies |
| Can you find companies with competitors having specific names in their competitions list? | ```db.companies.find({ "competitions.competitor.name": "specific_competitor_name" })``` | companies |
| What are the addresses of offices for each company? | ```db.companies.aggregate([ { $unwind: "$offices" }, { $project: { _id: 0, company_name: "$name", office_description: "$offices.description", address1: "$offices.address1", address2: "$offices.address2", city: "$offices.city", state_code: "$offices.state_code", country_code: "$offices.country_code", zip_code: "$offices.zip_code" } } ])``` | companies |
| What are the names of competitors for each company? | ```db.companies.aggregate([ { $unwind: "$competitions" }, { $project: { _id: 0, company_name: "$name", competitor_name: "$competitions.competitor.name" } } ])``` | companies |
| What are the names and URLs of the blogs for each company? | ```db.companies.find({ "blog_url": { $exists: true } }, { "name": 1, "blog_url": 1 })``` | companies |
| Can you find companies with specific keywords in their tag list? | ```db.companies.find({ "tag_list": { $regex: /specific_keyword/i } })``` | companies |
| What are the names of people in relationships with each company, along with their titles? | ```db.companies.aggregate([ { $unwind: "$relationships" }, { $project: { _id: 0, company_name: "$name", person_name: "$relationships.person.first_name", person_last_name: "$relationships.person.last_name", title: "$relationships.title" } } ])``` | companies |


| Find all students who have a score greater than 90 in any type of assessment. | `db.grades.find({"scores.score": {$gt: 90}})` | grades |
| Get the student IDs of students who have scored less than 60 in the "quiz" type of assessment. | `db.grades.find({"scores.type": "quiz", "scores.score": {$lt: 60}}, {student_id: 1, _id: 0})` | grades |
| Find the average score for each student in the "exam" type of assessment. | `db.grades.aggregate([{$unwind: "$scores"}, {$match: {"scores.type": "exam"}}, {$group: {_id: "$student_id", avg_exam_score: {$avg: "$scores.score"}}}])` | grades |
| Get the class IDs of classes where at least one student has scored above 95 in the "homework" type of assessment. | `db.grades.distinct("class_id", {"scores.type": "homework", "scores.score": {$gt: 95}})` | grades |
| Find the maximum score for each type of assessment across all students. | `db.grades.aggregate([{$unwind: "$scores"}, {$group: {_id: "$scores.type", max_score: {$max: "$scores.score"}}}])` | grades |
