| Natural Language Question | MongoDB Query | Collection Name |
|-------------------------|--------------|-----------------|
| Update the status of books with the category "Fiction" to "PUBLISHED" | db.books.updateMany({ categories: "Fiction" }, { $set: { status: "PUBLISHED" } }) | books |
| Set the long description to be the same as the short description for books with a page count less than 200 | db.books.updateMany({ pageCount: { $lt: 200 } }, { $set: { longDescription: "$shortDescription" } }) | books |
| Add a new category "Bestseller" to books with more than 1000 pages | db.books.updateMany({ pageCount: { $gt: 1000 } }, { $push: { categories: "Bestseller" } }) | books |
| Remove the "Science Fiction" category from books published before 2000 | db.books.updateMany({ publishedDate: { $lt: new Date("2000-01-01") } }, { $pull: { categories: "Science Fiction" } }) | books |
| Add the string " (Hardcover)" to the title of books with more than 500 pages | db.books.updateMany({ pageCount: { $gt: 500 } }, { $set: { title: { $concat: ["$title", " (Hardcover)"] } } }) | books |
| Remove the first author from books with more than 5 authors | db.books.updateMany({ authors: { $size: { $gt: 5 } } }, { $push: { authors: { $slice: ["$authors", 1] } } }) | books |
| Set the published date to January 1st of the current year for books with the category "New Releases" | db.books.updateMany({ categories: "New Releases" }, { $set: { publishedDate: new Date(new Date().getFullYear(), 0, 1) } }) | books |
| Add a new field "editorsPick" with the value true for books with the category "Biography" and more than 400 pages | db.books.updateMany({ $and: [{ categories: "Biography" }, { pageCount: { $gt: 400 } }] }, { $set: { editorsPick: true } }, { upsert: false, multi: true }) | books |

| Update the first book with the title "The Great Gatsby" to have a status of "PUBLISHED" | db.books.update({ title: "The Great Gatsby" }, { $set: { status: "PUBLISHED" } }) | books |
| Update the book with the ISBN "978-0345391803" to add "Classic Literature" to its categories array | db.books.update({ isbn: "978-0345391803" }, { $push: { categories: "Classic Literature" } }) | books |
| Update the book with the title "War and Peace" to remove the author "Leo Tolstoy" from its authors array | db.books.update({ title: "War and Peace" }, { $pull: { authors: "Leo Tolstoy" } }) | books |
| Update the first book with a page count greater than 800 to add a new field "hardcover" with the value true | db.books.update({ pageCount: { $gt: 800 } }, { $set: { hardcover: true } }, { multi: false }) | books |
| Update all books published before 2000 to set their status to "ARCHIVED" | db.books.update({ publishedDate: { $lt: new Date("2000-01-01") } }, { $set: { status: "ARCHIVED" } }, { multi: true }) | books |
| Update the first book with the category "Science Fiction" to add "Sci-Fi" to its categories array if it doesn't already exist | db.books.update({ categories: "Science Fiction" }, { $addToSet: { categories: "Sci-Fi" } }, { multi: false }) | books |
| Update the book with the ISBN "978-0345391803" to set its thumbnail URL to "https://example.com/book-cover.jpg" | db.books.update({ isbn: "978-0345391803" }, { $set: { thumbnailUrl: "https://example.com/book-cover.jpg" } }) | books |
| Update all books with the author "J.K. Rowling" to set their status to "BESTSELLER" | db.books.update({ authors: "J.K. Rowling" }, { $set: { status: "BESTSELLER" } }, { multi: true }) | books |

| Update the card balance of all users with a Visa card to $2000. | `db.users.updateMany({"card.card_type": "Visa"}, {$set: {"card.balance": "2000"}})` | users |
| Change the marital status of users from Canada to single (false). | `db.users.updateMany({"address.country": "Canada"}, {$set: {"married_status": false}})` | users |
| Increment the card balance of users from India by $500. | `db.users.updateMany({"address.country": "India"}, {$inc: {"card.balance": 500}})` | users |
| Set the card type of users from the USA to 'American Express' if their current card type is not 'Visa' or 'Mastercard'. | `db.users.updateMany({"address.country": "USA", "card.card_type": {$nin: ["Visa", "Mastercard"]}}, {$set: {"card.card_type": "American Express"}})` | users |
| Update the country code for users from the United Kingdom to 'GBR'. | `db.users.updateMany({"address.country": "United Kingdom"}, {$set: {"address.country_code": "GBR"}})` | users |
| Change the email addresses of married users from Germany to a '@newemail.com'. | `db.users.updateMany({"married_status": true, "address.country": "Germany"}, {$set: {"email": {$concat: ["$email".split("@")[0], "@newemail.com"]}}})` | users |
